Professor_Name,Average_Rating,Department
Felix Lee,6.34,Chemistry
Felix Lee,6.17,Chemistry
Felix Lee,6.27,Chemistry
John Corrigan,5.61,Chemistry
Paul Ragogna,5.57,Chemistry
Zhifeng Ding,4.26,Chemistry
Christina Booker,6.49,Chemistry
Martin Stillman,6.52,Chemistry
Mark Workentin,6.59,Chemistry
Mark Workentin,6.54,Chemistry
Johanna Blacquiere,6.15,Chemistry
Zhifeng Ding,5.36,Chemistry
James Wisner,6.28,Chemistry
Styliani Constas,5.53,Chemistry
John Corrigan,6.2,Chemistry
Brian Pagenkopf,3.75,Chemistry
Francois Lagugne-Labarthet,6.21,Chemistry
Michael Kerr,6.33,Chemistry
Richard Puddephatt,5.91,Chemistry
Robert Hudson,6.55,Chemistry
Lars Konermann,6.59,Chemistry
Elizabeth Macdougall Shackleton,6.16,Biology
Elizabeth Macdougall Shackleton,6.2,Biology
Tom Haffie,5.81,Biology
Tom Haffie,5.81,Biology
Vera Tai,3.59,Biology
Jennifer Peter,5.19,Biology
Jennifer Peter,5.34,Biology
Irene Krajnyk,5.75,Biology
Irene Krajnyk,5.98,Biology
Irene Krajnyk,5.87,Biology
Irene Krajnyk,4.54,Biology
Irene Krajnyk,6.16,Biology
Irene Krajnyk,4.61,Biology
Irene Krajnyk,4.3,Biology
Irene Krajnyk,5.33,Biology
Irene Krajnyk,5.54,Biology
Irene Krajnyk,4.83,Biology
Irene Krajnyk,5.23,Biology
Michelle Belton,6.54,Biology
Michelle Belton,6.11,Biology
Michelle Belton,6.02,Biology
Michelle Belton,6.65,Biology
Michelle Belton,6.52,Biology
Michelle Belton,6.27,Biology
Michelle Belton,6.73,Biology
Michelle Belton,6.32,Biology
Michelle Belton,6.38,Biology
Michelle Belton,6.25,Biology
Michelle Belton,5.89,Biology
Patricia Gray,5.76,Biology
Patricia Gray,6.02,Biology
Patricia Gray,5.98,Biology
Patricia Gray,6.49,Biology
Patricia Gray,5.46,Biology
Patricia Gray,5.71,Biology
Patricia Gray,5.31,Biology
Patricia Gray,5.26,Biology
Patricia Gray,5.14,Biology
Patricia Gray,5.65,Biology
Patricia Gray,5.55,Biology
